Date,Open,High,Low,Close,Volume
2015-01-02,80.59620285974721,80.68597226736037,78.594318359003,79.59077453613281,979800
2015-01-05,78.86361039396463,79.17780668060087,78.01976991685093,78.18135070800781,2013600
2015-01-06,78.26219761420418,78.46867350442277,76.35905385055581,77.05029296875,2286200
2015-01-07,77.59789285052638,78.1634465060806,77.07722049203358,78.07367706298828,1283200
2015-01-08,78.03776724886167,79.24967184267206,77.93901880761341,78.77388763427734,1593600
2015-01-09,78.7200065693636,79.04318195564308,77.64275299877613,78.1005859375,1039900
2015-01-12,78.36093419678456,78.51354291703406,76.77198715969422,76.98744201660156,766100
2015-01-13,78.43274531482335,82.90332702809062,77.94798220453508,81.5926742553711,3777400
2015-01-14,80.42565776948285,80.73986105388094,78.67512987996967,79.80624389648438,2430900
2015-01-15,80.2012334417427,80.47054859479313,78.99830794911352,79.2586441040039,1091100
2015-01-16,79.07011008504674,81.56573684419376,77.9569474055249,81.48493957519531,2229100
2015-01-20,81.54779015418504,81.96074185480406,80.47952230822935,81.655517578125,2370600
2015-01-21,80.84754864642878,81.91582294000031,80.5243733449948,81.42208099365234,1921300
2015-01-22,81.69143052062378,82.92129298420038,80.86554077889305,82.30187225341797,1217000
2015-01-23,81.96075369236885,83.15470028087829,81.88893539936952,82.42755889892578,1011200
2015-01-26,82.07743025848065,82.97513812225098,81.41312835700148,82.77764129638672,935700
2015-01-27,81.75424532676328,82.74172249173216,81.24255217816335,82.04151153564453,1091100
2015-01-28,82.58912994656424,82.7686687938174,79.67157916040844,79.93191528320312,1837100
2015-01-29,79.82417683591382,81.1438084126877,78.79181148443332,81.05403900146484,1960100
2015-01-30,80.00374930349068,81.17076573819817,79.84216156958111,80.291015625,2303700
2015-02-02,79.94986369659036,81.25154426608754,78.88159594868937,81.06302642822266,1424500
2015-02-03,82.47245054324985,84.44740574173497,82.05052661519002,84.36661529541016,2073000
2015-02-04,83.96264582149995,85.838859497978,83.81901607272404,85.13864135742188,2016200
2015-02-05,85.2822319051135,86.17096061462466,84.85132919352147,86.07221221923828,1167600
2015-02-06,86.33258485152344,89.42070285419231,86.33258485152344,87.57142639160156,2077400
2015-02-09,87.2213134096327,87.54448199170189,86.67371097642808,86.98790740966797,782700
2015-02-10,87.20335448406654,88.02924419948052,86.485185345204,87.80481719970703,808900
2015-02-11,87.59834628282827,88.46014512126682,87.40084943150454,88.1190185546875,1299100
2015-02-12,88.93594915896196,92.07792779038644,88.81027056162257,91.73680114746094,3270800
2015-02-13,91.05454101264006,91.95224919304705,90.49795947515857,91.73680114746094,1760400
2015-02-17,91.6290404656786,92.69731500456251,91.22507467060467,92.64344787597656,1131400
2015-02-18,92.48186685576633,94.35807996903377,92.13176131506958,94.268310546875,1493200
2015-02-19,94.10670716082718,94.851806253584,93.86432222753679,94.1515884399414,2152000
2015-02-20,93.89128354339248,94.46582300795649,93.19107234619663,93.92719268798828,2779600
2015-02-23,94.12529926338587,94.22436011969123,93.37784944395153,93.77408599853516,1508300
2015-02-24,93.55796261403968,93.95420606581578,93.25177948904054,93.66603088378906,2446400
2015-02-25,93.82813994493816,93.94520876344613,93.21576675843674,93.36885833740234,1382400
